IATA,ICAO,Airport Name,City Served,Region,Location,Time Zone,Runways Count,Terminal Count,International Status,Owned By,Operated By,Website URL,Date Opened
CMF,LFLB,Chambéry-Savoie Airport,Chambéry,Auvergne-Rhône-Alpes,"Voglans, Chambéry, France",UTC+01:00,2,1,International,CCI de Savoie,VINCI Airports,https://www.chambery-airport.com/,1960
CMH,KCMH,John Glenn Columbus International Airport,Columbus,Ohio,"Columbus, Ohio, USA",UTC-05:00,2,1,International,Columbus Regional Airport Authority,Columbus Regional Airport Authority,https://www.flycolumbus.com/,1929
CMN,GMMN,Mohammed V International Airport,Casablanca,Grand Casablanca,"Nouaceur, Casablanca, Morocco",UTC+01:00,2,3,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1943
CND,LRCN,Constanța Mihail Kogălniceanu Airport,Constanța,Constanța County,"Mihail Kogălniceanu, Constanța, Romania",UTC+02:00,1,1,International,National Company Constanța Airport,National Company Constanța Airport,https://www.mk-airport.ro/,1960
COK,VOCI,Cochin International Airport,Kochi,Kerala,"Nedumbassery, Kochi, India",UTC+05:30,1,3,International,Cochin International Airport Limited,Cochin International Airport Limited,https://www.cial.aero/,1999
COV,LPCV,Covilhã Aerodrome,Covilhã,Beira Interior Norte,"Covilhã, Portugal",UTC+00:00,1,1,Domestic,Municipality of Covilhã,Municipality of Covilhã,,1965
CPH,EKCH,Copenhagen Airport,Copenhagen,Capital Region,"Kastrup, Copenhagen, Denmark",UTC+01:00,3,3,International,Copenhagen Airports A/S,Copenhagen Airports A/S,https://www.cph.dk/,1925
CPT,FACT,Cape Town International Airport,Cape Town,Western Cape,"Cape Town, South Africa",UTC+02:00,2,2,International,Airports Company South Africa,Airports Company South Africa,https://www.airports.co.za/,1954
CRA,LRCV,Craiova International Airport,Craiova,Dolj County,"Craiova, Romania",UTC+02:00,1,1,International,Craiova International Airport,Craiova International Airport,https://www.aeroportcraiova.ro/,1938
CRL,EBCI,Brussels South Charleroi Airport,Charleroi,Wallonia,"Gosselies, Charleroi, Belgium",UTC+01:00,1,2,International,Brussels South Charleroi Airport S.A.,Brussels South Charleroi Airport S.A.,https://www.charleroi-airport.com/,1919
CSX,ZGHA,Changsha Huanghua International Airport,Changsha,Hunan,"Huanghua, Changsha, China",UTC+08:00,2,2,International,Hunan Airport Authority,Hunan Airport Authority,https://www.hunanairport.cn/,1989
CTA,LICC,Catania–Fontanarossa Airport,Catania,Sicily,"Catania, Italy",UTC+01:00,1,1,International,SAC – Società Aeroporto Catania,SAC,https://www.aeroporto.catania.it/,1924
CTU,ZUUU,Chengdu Shuangliu International Airport,Chengdu,Sichuan,"Shuangliu, Chengdu, China",UTC+08:00,2,2,International,Sichuan Province Airport Group,Sichuan Province Airport Group,https://www.cdairport.com/,1938
CUN,MMUN,Cancún International Airport,Cancún,Quintana Roo,"Cancún, Mexico",UTC-05:00,4,4,International,Grupo Aeroportuario del Sureste,Grupo Aeroportuario del Sureste,https://www.cancun-airport.com/,1974
CUR,TNCC,Hato International Airport,Willemstad,Curaçao,"Willemstad, Curaçao",UTC-04:00,1,1,International,Curaçao Airport Holding,Curaçao Airport Partners,https://www.curacao-airport.com/,1977
CVG,KCVG,Cincinnati/Northern Kentucky International Airport,Cincinnati,Ohio,"Hebron, Kentucky, USA",UTC-05:00,4,1,International,Kenton County Airport Board,Kenton County Airport Board,https://www.cvgairport.com/,1947
CWE,UKLN,Chernivtsi International Airport,Chernivtsi,Chernivtsi Oblast,"Chernivtsi, Ukraine",UTC+02:00,1,1,International,Chernivtsi City Council,Chernivtsi International Airport,https://www.chn.at.ua/,1937
CWL,EGFF,Cardiff Airport,Cardiff,Wales,"Rhoose, Vale of Glamorgan, Wales",UTC+00:00,1,1,International,Cardiff Airport Holdings,Cardiff Airport,https://www.cardiff-airport.com/,1931
DAC,VGHS,Hazrat Shahjalal International Airport,Dhaka,Dhaka Division,"Kurmitola, Dhaka, Bangladesh",UTC+06:00,1,3,International,Civil Aviation Authority of Bangladesh,Civil Aviation Authority of Bangladesh,https://www.caab.gov.bd/,1980
DBV,LDDU,Dubrovnik Airport,Dubrovnik,Dubrovnik-Neretva County,"Čilipi, Dubrovnik, Croatia",UTC+01:00,1,2,International,Dubrovnik Airport Ltd.,Dubrovnik Airport Ltd.,https://www.airport-dubrovnik.hr/,1962
DEB,LHDC,Debrecen International Airport,Debrecen,Hajdú-Bihar County,"Debrecen, Hungary",UTC+01:00,1,1,International,Debrecen International Airport Ltd.,Debrecen International Airport Ltd.,https://www.debrecenairport.com/,1925
DEL,VIDP,Indira Gandhi International Airport,Delhi,Delhi,"Palam, Delhi, India",UTC+05:30,3,3,International,Delhi International Airport Limited,GMR Group,https://www.newdelhiairport.in/,1930
DEN,KDEN,Denver International Airport,Denver,Colorado,"Denver, Colorado, USA",UTC-07:00,6,1,International,City and County of Denver,Department of Aviation,https://www.flydenver.com/,1995
DFW,KDFW,Dallas/Fort Worth International Airport,Dallas,Texas,"D FW Airport, Texas, USA",UTC-06:00,7,5,International,DFW Airport Board,DFW Airport Board,https://www.dfwairport.com/,1974
DGA,MDDS,Dangriga Airport,Dangriga,Stann Creek District,"Dangriga, Belize",UTC-06:00,1,1,Domestic,Belize Airports Authority,Belize Airports Authority,,1960
DHN,KDHN,Dothan Regional Airport,Dothan,Alabama,"Dothan, Alabama, USA",UTC-06:00,2,1,Domestic,City of Dothan,Dothan Regional Airport Authority,https://www.flydothan.com/,1941
DIY,LTCC,Diyarbakır Airport,Diyarbakır,Diyarbakır Province,"Diyarbakır, Turkey",UTC+03:00,1,1,International,DHMI,DHMI,https://www.dhmi.gov.tr/,1952
DJE,DTTD,Monastir Habib Bourguiba International Airport,Monastir,Monastir Governorate,"Monastir, Tunisia",UTC+01:00,1,1,International,TAV Airports,TAV Airports,https://www.monastirairport.com/,1968
DLC,ZGDL,Dalian Zhoushuizi International Airport,Dalian,Liaoning,"Ganjingzi, Dalian, China",UTC+08:00,1,1,International,Dalian Airport Group,Dalian Airport Group,https://www.dlairport.com/,1972
DLE,LFQT,Dole–Jura Airport,Dole,Bourgogne-Franche-Comté,"Tavaux, Dole, France",UTC+01:00,1,1,International,CCI du Jura,CCI du Jura,https://www.aeroportdolejura.com/,1970
DLM,LTBS,Dalaman Airport,Dalaman,Muğla Province,"Dalaman, Muğla, Turkey",UTC+03:00,1,2,International,YDA Group,YDA Group,https://www.yda.aero/,1987
DME,UUDD,Moscow Domodedovo Airport,Moscow,Moscow Oblast,"Domodedovo, Moscow, Russia",UTC+03:00,2,1,International,Domodedovo International Airport,Domodedovo International Airport,https://www.dme.ru/,1965
DMK,VTBD,Don Mueang International Airport,Bangkok,Bangkok,"Don Mueang, Bangkok, Thailand",UTC+07:00,2,2,International,Airports of Thailand,Airports of Thailand,https://www.donmueangairport.com/,1914
DND,EGPN,Dundee Airport,Dundee,Scotland,"Riverside, Dundee, Scotland",UTC+00:00,1,1,International,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1947
DNK,UKDD,Dnipro International Airport,Dnipro,Dnipropetrovsk Oblast,"Dnipro, Ukraine",UTC+02:00,1,1,International,Dniproavia,Dniproavia,https://www.dnk.aero/,1944
DOH,OTHH,Hamad International Airport,Doha,Al Rayyan,"Doha, Qatar",UTC+03:00,1,2,International,Qatar Airways,Qatar Airports Management,https://www.dohaairport.com/,2014
DRS,EDDC,Dresden Airport,Dresden,Saxony,"Klotzsche, Dresden, Germany",UTC+01:00,1,1,International,Flughafen Dresden GmbH,Flughafen Dresden GmbH,https://www.dresden-airport.de/,1935
DRW,YPDN,Darwin International Airport,Darwin,Northern Territory,"Marrara, Darwin, Australia",UTC+09:30,1,1,International,Airport Development Group,Airport Development Group,https://www.darwinairport.com.au/,1940
DSA,EGCN,Doncaster Sheffield Airport,Doncaster,England,"Finningley, South Yorkshire, England",UTC+00:00,1,1,International,Peel Group,Closed (2022),https://www.flydsa.co.uk/,2005
DSS,GOOY,Blaise Diagne International Airport,Dakar,Thiès Region,"Diass, Dakar, Senegal",UTC+00:00,1,1,International,LAS (Limak-AIBD-Summa),LAS,https://www.dakar-aeroport.com/,2017
DTM,EDLW,Dortmund Airport,Dortmund,North Rhine-Westphalia,"Dortmund, Germany",UTC+01:00,1,1,International,Flughafen Dortmund GmbH,Flughafen Dortmund GmbH,https://www.dortmund-airport.de/,1925
DTW,KDTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,"Romulus, Michigan, USA",UTC-05:00,6,2,International,Wayne County Airport Authority,Wayne County Airport Authority,https://www.metroairport.com/,1930
DUB,EIDW,Dublin Airport,Dublin,County Dublin,"Collinstown, Dublin, Ireland",UTC+00:00,2,2,International,daa,daa,https://www.dublinairport.com/,1940
DUR,FALE,King Shaka International Airport,Durban,KwaZulu-Natal,"La Mercy, Durban, South Africa",UTC+02:00,1,2,International,Airports Company South Africa,Airports Company South Africa,https://www.airports.co.za/,2010
DUS,EDDL,Düsseldorf Airport,Düsseldorf,North Rhine-Westphalia,"Düsseldorf, Germany",UTC+01:00,1,3,International,Flughafen Düsseldorf GmbH,Flughafen Düsseldorf GmbH,https://www.dus.com/,1927
DXB,OMDB,Dubai International Airport,Dubai,Dubai Emirate,"Garhoud, Dubai, UAE",UTC+04:00,2,3,International,Dubai Airports Company,Dubai Airports Company,https://www.dubaiairports.ae/,1960
EAS,LESO,San Sebastián Airport,San Sebastián,Basque Country,"Hondarribia, San Sebastián, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1955
EBJ,EKEB,Esbjerg Airport,Esbjerg,South Denmark,"Esbjerg, Denmark",UTC+01:00,2,1,International,Esbjerg Municipality,Esbjerg Airport,https://www.esbjerg-lufthavn.dk/,1971
EBL,ORER,Erbil International Airport,Erbil,Erbil Governorate,"Erbil, Iraq",UTC+03:00,1,1,International,Kurdistan Regional Government,Erbil International Airport,https://www.erbilairport.com/,2010
EBU,LFMZ,Saint-Étienne–Bouthéon Airport,Saint-Étienne,Auvergne-Rhône-Alpes,"Andrézieux-Bouthéon, Saint-Étienne, France",UTC+01:00,1,1,International,CCI de Saint-Étienne,CCI de Saint-Étienne,https://www.st-etienne.aeroport.fr/,1960
EDI,EGPH,Edinburgh Airport,Edinburgh,Scotland,"Ingliston, Edinburgh, Scotland",UTC+00:00,2,1,International,Vinci Airports,Edinburgh Airport Ltd,https://www.edinburghairport.com/,1916
EFL,LGKF,Kefalonia International Airport,Kefalonia,Ionian Islands,"Kefalonia, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.kefaloniaairport.info/,1971
EGC,LFBE,Bergerac Dordogne Périgord Airport,Bergerac,Nouvelle-Aquitaine,"Bergerac, France",UTC+01:00,1,1,International,CCI de la Dordogne,CCI de la Dordogne,https://www.bergerac.aeroport.fr/,1930
EGHF,EGHF,Lee-on-Solent Airfield,Lee-on-Solent,England,"Lee-on-Solent, Hampshire, England",UTC+00:00,2,1,Domestic,Fareham Borough Council,Fareham Borough Council,,1917
EGS,BIEG,Egilsstaðir Airport,Egilsstaðir,East Iceland,"Egilsstaðir, Iceland",UTC+00:00,1,1,International,Isavia,Isavia,https://www.isavia.is/,1960
EIN,EHEH,Eindhoven Airport,Eindhoven,North Brabant,"Eindhoven, Netherlands",UTC+01:00,1,1,International,Eindhoven Airport N.V.,Eindhoven Airport N.V.,https://www.eindhovenairport.nl/,1932
EMA,EGNX,East Midlands Airport,Nottingham,England,"Castle Donington, Leicestershire, England",UTC+00:00,1,1,International,MAG (Manchester Airports Group),MAG,https://www.eastmidlandsairport.com/,1965
ENF,EFET,Enontekiö Airport,Enonteki�,Lapland,"Enonteki�, Finland",UTC+02:00,1,1,International,Finavia,Finavia,https://www.finavia.fi/,1985
ERF,EDDE,Erfurt–Weimar Airport,Erfurt,Thuringia,"Erfurt, Germany",UTC+01:00,1,1,International,Flughafen Erfurt GmbH,Flughafen Erfurt GmbH,https://www.flughafen-erfurt.de/,1935
ERH,GMMI,Errachidia Moulay Ali Cherif Airport,Errachidia,Drâa-Tafilalet,"Errachidia, Morocco",UTC+01:00,1,1,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1950
ESB,LTAE,Ankara Esenboğa Airport,Ankara,Ankara Province,"Akyurt, Ankara, Turkey",UTC+03:00,2,2,International,TAV Airports,TAV Airports,https://www.esenbogaairport.com/,1955
ESU,GMMB,Essaouira-Mogador Airport,Essaouira,Marrakesh-Safi,"Essaouira, Morocco",UTC+01:00,1,1,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1998
ETM,LLER,Ramon Airport,Eilat,Southern District,"Be'er Ora, Eilat, Israel",UTC+02:00,1,1,International,Israel Airports Authority,Israel Airports Authority,https://www.iaa.gov.il/,2019
EVE,ENEV,Harstad/Narvik Airport, Evenes,Harstad,"Evenes, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1973
EVN,UDYZ,Zvartnots International Airport,Yerevan,Yerevan,"Zvartnots, Yerevan, Armenia",UTC+04:00,1,2,International,Armenia International Airports CJSC,Armenia International Airports CJSC,https://www.zvartnots.aero/,1961
EWR,KEWR,Newark Liberty International Airport,Newark,New Jersey,"Newark, New Jersey, USA",UTC-05:00,3,3,International,Port Authority of New York and New Jersey,Port Authority of New York and New Jersey,https://www.newarkairport.com/,1928
EXT,EGTE,Exeter Airport,Exeter,England,"Clyst Honiton, Devon, England",UTC+00:00,1,1,International,Regional & City Airports,Regional & City Airports,https://www.exeter-airport.co.uk/,1937
EZE,SAEZ,Ministro Pistarini International Airport,Buenos Aires,Buenos Aires Province,"Ezeiza, Buenos Aires, Argentina",UTC-03:00,3,3,International,Aeropuertos Argentina 2000,Aeropuertos Argentina 2000,https://www.aa2000.com.ar/,1949
FAB,EGTF,Farnborough Airport,Farnborough,England,"Farnborough, Hampshire, England",UTC+00:00,1,1,International,TAG Aviation,TAG Aviation,https://www.farnboroughairport.com/,1949
FAE,EKVG,Vágar Airport,Vágar,Faroe Islands,"Sørvágur, Vágar, Faroe Islands",UTC+00:00,1,1,International,Faroese Transport Authority,Faroese Transport Authority,https://www.fae.fo/,1942
FAO,LPFR,Faro Airport,Faro,Algarve,"Faro, Portugal",UTC+00:00,1,1,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.ana.pt/,1965
FCO,LIRF,Leonardo da Vinci–Fiumicino Airport,Rome,Lazio,"Fiumicino, Rome, Italy",UTC+01:00,4,3,International,Aeroporti di Roma,Aeroporti di Roma,https://www.adr.it/,1961
FDH,EDNY,Friedrichshafen Airport,Friedrichshafen,Baden-Württemberg,"Friedrichshafen, Germany",UTC+01:00,1,1,International,Flughafen Friedrichshafen GmbH,Flughafen Friedrichshafen GmbH,https://www.bodensee-airport.eu/,1918
FEZ,GMFF,Saïss Airport,Fes,Fes-Meknès,"Fes, Morocco",UTC+01:00,1,1,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1954
FKB,EDSB,Karlsruhe/Baden-Baden Airport,Karlsruhe,Baden-Württemberg,"Rheinmünster, Karlsruhe, Germany",UTC+01:00,1,1,International,Baden-Airpark GmbH,Baden-Airpark GmbH,https://www.baden-airpark.de/,1953
FLL,KFLL,Fort Lauderdale–Hollywood International Airport,Fort Lauderdale,Florida,"Fort Lauderdale, Florida, USA",UTC-05:00,3,4,International,Broward County,Broward County Aviation Department,https://www.fll.net/,1929
FLR,LIRQ,Florence Airport,Florence,Tuscany,"Peretola, Florence, Italy",UTC+01:00,1,1,International,Toscana Aeroporti,Toscana Aeroporti,https://www.aeroporto.firenze.it/,1931
FMM,EDJA,Memmingen Airport,Memmingen,Bavaria,"Memmingerberg, Memmingen, Germany",UTC+01:00,1,1,International,Allgäu Airport GmbH,Allgäu Airport GmbH,https://www.allgaeu-airport.de/,1936
FMO,EDDG,Münster Osnabrück International Airport,Münster,North Rhine-Westphalia,"Greven, Münster, Germany",UTC+01:00,1,1,International,Flughafen Münster/Osnabrück GmbH,Flughafen Münster/Osnabrück GmbH,https://www.fmo.de/,1972
FNC,LPPD,Madeira Airport,Funchal,Madeira,"Santa Cruz, Madeira, Portugal",UTC+00:00,1,1,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.aeroportomadeira.pt/,1964
FNI,LFTW,Nîmes–Alès–Camargue–Cévennes Airport,Nîmes,Occitanie,"Garons, Nîmes, France",UTC+01:00,2,1,International,CCI de Nîmes,CCI de Nîmes,https://www.aeroport-nimes.fr/,1960
FRA,EDDF,Frankfurt Airport,Frankfurt,Hesse,"Frankfurt, Germany",UTC+01:00,4,2,International,Fraport AG,Fraport AG,https://www.frankfurt-airport.com/,1936
FRL,LIPK,Forlì Airport,Forlì,Emilia-Romagna,"Forlì, Italy",UTC+01:00,1,1,International,Forlì Airport S.p.A.,Forlì Airport S.p.A.,https://www.forli-airport.it/,1928
FSC,LFKS,Figari–Sud Corse Airport,Figari,Corsica,"Figari, France",UTC+01:00,1,1,International,CCI de la Corse du Sud,CCI de la Corse du Sud,https://www.figari.aeroport.fr/,1975
FUE,GCFV,Fuerteventura Airport,Puerto del Rosario,Canary Islands,"El Matorral, Fuerteventura, Spain",UTC+00:00,1,1,International,AENA,AENA,https://www.aena.es/,1969
GCI,EGJB,Guernsey Airport,Guernsey,Channel Islands,"Forest, Guernsey, Channel Islands",UTC+00:00,1,1,International,States of Guernsey,States of Guernsey,https://www.guernsey-airport.gov.gg/,1939
GCM,MWCR,Owen Roberts International Airport,George Town,Grand Cayman,"George Town, Cayman Islands",UTC-05:00,1,1,International,Cayman Islands Airports Authority,Cayman Islands Airports Authority,https://www.caymanairports.com/,1953
GDN,EPGD,Gdańsk Lech Wałęsa Airport,Gdańsk,Pomeranian,"Matarnia, Gdańsk, Poland",UTC+01:00,1,2,International,Gdańsk Airport Sp. z o.o.,Gdańsk Airport Sp. z o.o.,https://www.airport.gdansk.pl/,1974
GEO,SMJP,Dr. Ir. H. Sandi Paramaribo-Zanderij International Airport,Paramaribo,Paramaribo District,"Zanderij, Paramaribo, Suriname",UTC-03:00,1,1,International,Airport Management Ltd.,Airport Management Ltd.,https://www.smsz.org/,1943
GHV,LRSI,Râmnicu Vâlcea Airport,Râmnicu Vâlcea,Vâlcea County,"Râmnicu Vâlcea, Romania",UTC+02:00,1,1,Domestic,Vâlcea County Council,Vâlcea County Council,,1970
GIB,LXGB,Gibraltar International Airport,Gibraltar,Gibraltar,"Gibraltar, Gibraltar",UTC+01:00,1,1,International,Government of Gibraltar,Government of Gibraltar,https://www.gibraltarairport.gi/,1939
GIG,SBGL,Rio de Janeiro–Galeão International Airport,Rio de Janeiro,Rio de Janeiro,"Galeão, Rio de Janeiro, Brazil",UTC-03:00,2,2,International,Changi Airports International,Changi Airports International,https://www.riogaleao.com/,1952
GLA,EGPF,Glasgow Airport,Glasgow,Scotland,"Paisley, Renfrewshire, Scotland",UTC+00:00,2,2,International,AGS Airports,AGS Airports,https://www.glasgowairport.com/,1932
GLO,EGXU,Gloucestershire Airport,Gloucester,England,"Staverton, Gloucestershire, England",UTC+00:00,3,1,International,Gloucestershire Airport Ltd.,Gloucestershire Airport Ltd.,https://www.gloucestershireairport.co.uk/,1931
GNB,LFLS,Grenoble–Isère Airport,Grenoble,Auvergne-Rhône-Alpes,"Saint-Étienne-de-Saint-Geoirs, Grenoble, France",UTC+01:00,3,1,International,CCI de Grenoble,VINCI Airports,https://www.grenoble-airport.com/,1968
GND,TGPY,Maurice Bishop International Airport,St. George's,St. George Parish,"Point Salines, St. George's, Grenada",UTC-04:00,1,1,International,Grenada Airports Authority,Grenada Airports Authority,https://www.gaa.gd/,1985
GOA,LIMJ,Genoa Cristoforo Colombo Airport,Genoa,Liguria,"Sestri Ponente, Genoa, Italy",UTC+01:00,1,1,International,Aeroporti di Genova S.p.A.,Aeroporti di Genova S.p.A.,https://www.aeroportodigenova.it/,1962
GOI,VAGO,Dabolim Airport,Goa,Goa,"Dabolim, Goa, India",UTC+05:30,1,1,International,Airports Authority of India,Airports Authority of India,https://www.aai.aero/,1966
GOT,ESGG,Gothenburg Landvetter Airport,Gothenburg,Västra Götaland,"Härryda, Gothenburg, Sweden",UTC+01:00,1,1,International,Swedavia,Swedavia,https://www.swedavia.com/,1977
GRB,KGRB,Austin Straubel International Airport,Green Bay,Wisconsin,"Ashwaubenon, Wisconsin, USA",UTC-06:00,2,1,International,Brown County,Brown County Airport Department,https://www.flygrb.com/,1960
GRO,LEGE,Girona–Costa Brava Airport,Girona,Catalonia,"Vilobí d'Onyar, Girona, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1965
GRU,SBGR,São Paulo–Guarulhos International Airport,São Paulo,São Paulo,"Guarulhos, São Paulo, Brazil",UTC-03:00,3,3,International,Invepar,Invepar,https://www.gru.com.br/,1985
GRX,LEGR,Federico García Lorca Granada-Jaén Airport,Granada,Andalusia,"Chauchina, Granada, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1972
GRZ,LOWG,Graz Airport,Graz,Styria,"Feldkirchen, Graz, Austria",UTC+01:00,1,1,International,Graz Airport Operating Company,Graz Airport Operating Company,https://www.flughafen-graz.at/,1937
GUY,KGUY,Guymon Municipal Airport,Guymon,Oklahoma,"Guymon, Oklahoma, USA",UTC-06:00,2,1,Domestic,City of Guymon,City of Guymon,,1940
GVA,LSGG,Geneva Airport,Geneva,Geneva,"Grand-Saconnex, Geneva, Switzerland",UTC+01:00,2,1,International,État de Genève,État de Genève,https://www.gva.ch/,1919
GYD,UBBB,Heydar Aliyev International Airport,Baku,Baku,"Bina, Baku, Azerbaijan",UTC+04:00,2,2,International,Azerbaijan Airlines,Azerbaijan Airlines,https://www.airport.az/,1938
GZT,LTAJ,Gaziantep Oğuzeli Airport,Gaziantep,Gaziantep Province,"Oğuzeli, Gaziantep, Turkey",UTC+03:00,1,1,International,DHMI,DHMI,https://www.dhmi.gov.tr/,1976
HAD,ESMT,Halmstad Airport,Halmstad,Halland,"Halmstad, Sweden",UTC+01:00,1,1,International,Halmstad Municipality,Halmstad Airport AB,https://www.halmstadairport.se/,1970
HAJ,EDDV,Hannover Airport,Hannover,Lower Saxony,"Langenhagen, Hannover, Germany",UTC+01:00,3,3,International,Hannover Airport GmbH,Hannover Airport GmbH,https://www.hannover-airport.de/,1952
HAK,ZJHK,Haikou Meilan International Airport,Haikou,Hainan,"Meilan, Haikou, China",UTC+08:00,2,2,International,Hainan Meilan International Airport Co.,Hainan Meilan International Airport Co.,https://www.mlairport.com/,1999
HAM,EDDH,Hamburg Airport,Hamburg,Hamburg,"Fuhlsbüttel, Hamburg, Germany",UTC+01:00,2,2,International,Flughafen Hamburg GmbH,Flughafen Hamburg GmbH,https://www.hamburg-airport.de/,1911
HAN,VVNB,Nội Bài International Airport,Hanoi,Hanoi,"Sóc Sơn, Hanoi, Vietnam",UTC+07:00,2,2,International,Vietnam Airports Corporation,Vietnam Airports Corporation,https://www.vietnamairport.vn/,1975
HAU,ENHD,Haugesund Airport,Haugesund,Rogaland,"Karmøy, Haugesund, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1975
HEL,EFHK,Helsinki-Vantaa Airport,Helsinki,Uusimaa,"Vantaa, Helsinki, Finland",UTC+02:00,3,1,International,Finavia,Finavia,https://www.finavia.fi/,1952
HER,LGIR,Heraklion International Airport,Heraklion,Crete,"Heraklion, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.heraklion-airport.gr/,1937
HGH,ZSHC,Hangzhou Xiaoshan International Airport,Hangzhou,Zhejiang,"Xiaoshan, Hangzhou, China",UTC+08:00,2,3,International,Hangzhou Xiaoshan International Airport Co.,Hangzhou Xiaoshan International Airport Co.,https://www.hzairport.com/,2000
HHN,EDFH,Frankfurt–Hahn Airport,Frankfurt,Rhineland-Palatinate,"Hahn, Rhineland-Palatinate, Germany",UTC+01:00,1,1,International,Flughafen Frankfurt-Hahn GmbH,Flughafen Frankfurt-Hahn GmbH,https://www.hahn-airport.de/,1993
HKG,VHHH,Hong Kong International Airport,Hong Kong,Hong Kong,"Chek Lap Kok, Hong Kong",UTC+08:00,2,2,International,Airport Authority Hong Kong,Airport Authority Hong Kong,https://www.hongkongairport.com/,1998
HKT,VTSP,Phuket International Airport,Phuket,Phuket,"Thalang, Phuket, Thailand",UTC+07:00,1,2,International,Airports of Thailand,Airports of Thailand,https://www.phuketairportthai.com/,1988
HLE,FAHL,Hluhluwe Airport,Hluhluwe,KwaZulu-Natal,"Hluhluwe, South Africa",UTC+02:00,1,1,Domestic,Hluhluwe Municipality,Hluhluwe Municipality,,1970
HME,DAFH,Hassi Messaoud Oued Irara Airport,Hassi Messaoud,Ouargla Province,"Hassi Messaoud, Algeria",UTC+01:00,2,1,International,EGSA Oran,EGSA Oran,https://www.egsaoran.dz/,1970
HND,RJTT,Tokyo Haneda Airport,Tokyo,Tokyo,"Ōta, Tokyo, Japan",UTC+09:00,4,3,International,Japan Airport Terminal Co.,Japan Airport Terminal Co.,https://www.tokyo-haneda.com/,1931
HPN,KHPN,Westchester County Airport,White Plains,New York,"Westchester County, New York, USA",UTC-05:00,2,1,International,Westchester County,Westchester County,https://www.airport.westchestergov.com/,1948
HRE,FLHN,Robert Gabriel Mugabe International Airport,Harare,Harare Province,"Harare, Zimbabwe",UTC+02:00,2,2,International,Civil Aviation Authority of Zimbabwe,Civil Aviation Authority of Zimbabwe,https://www.caaz.co.zw/,1956
HRG,HEGN,Hurghada International Airport,Hurghada,Red Sea Governorate,"Hurghada, Egypt",UTC+02:00,2,2,International,Egyptian Holding Company for Airports,Egyptian Holding Company for Airports,https://www.hurghada-airport.co.uk/,1977
HUY,EGNJ,Humberside Airport,Hull,England,"Kirmington, Lincolnshire, England",UTC+00:00,2,1,International,Eastern Group,Eastern Group,https://www.humbersideairport.com/,1974
HYD,VOHS,Rajiv Gandhi International Airport,Hyderabad,Telangana,"Shamshabad, Hyderabad, India",UTC+05:30,1,1,International,GMR Hyderabad International Airport Ltd.,GMR Group,https://www.hyderabad.aero/,2008
IAD,KIAD,Washington Dulles International Airport,Washington, D.C.,"Dulles, Virginia, USA",UTC-05:00,4,1,International,Metropolitan Washington Airports Authority,Metropolitan Washington Airports Authority,https://www.flydulles.com/,1962
IAH,KIAH,George Bush Intercontinental Airport,Houston,Texas,"Houston, Texas, USA",UTC-06:00,5,5,International,Houston Airport System,Houston Airport System,https://www.fly2houston.com/,1969
IAS,LRIA,Iași International Airport,Iași,Iași County,"Iași, Romania",UTC+02:00,1,1,International,Iași County Council,Iași International Airport,https://www.aeroport.ro/,1926
IBZ,LEIB,Ibiza Airport,Ibiza,Balearic Islands,"Sant Josep de sa Talaia, Ibiza, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1949
ICN,RKSI,Incheon International Airport,Seoul,Incheon,"Jung-gu, Incheon, South Korea",UTC+09:00,4,2,International,Incheon International Airport Corporation,Incheon International Airport Corporation,https://www.airport.kr/,2001
IEV,UKKK,Kyiv Zhuliany International Airport,Kyiv,Kyiv,"Zhuliany, Kyiv, Ukraine",UTC+02:00,1,1,International,Master Avia,Master Avia,https://www.iev.aero/,1924
IGS,EDAH,Ingolstadt Manching Airport,Ingolstadt,Bavaria,"Manching, Ingolstadt, Germany",UTC+01:00,1,1,International,Airbus Defence and Space,Airbus Defence and Space,,1938
IKA,OIIE,Imam Khomeini International Airport,Tehran,Tehran Province,"Tehran, Iran",UTC+03:30,2,2,International,Tehran Airport Company,Tehran Airport Company,https://www.ikac.ir/,2004
ILY,EGPI,Islay Airport,Islay,Scotland,"Glenegedale, Islay, Scotland",UTC+00:00,2,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1940
